state,row,col,best_action,best_q,n_near_optimal,on_shortest_path
819,27,9,3,-0.11426353530398273,2,False
820,27,10,3,-0.08271278358886691,1,False
821,27,11,3,-0.0491951274295203,1,False
822,27,12,1,-0.01518274479277637,1,False
823,27,13,3,0.08730865904270539,1,False
824,27,14,3,0.12194669663740174,2,False
825,27,15,3,0.15605536272591247,1,False
826,27,16,0,0.19144137759126847,1,False
827,27,17,3,0.3011694236789372,1,False
828,27,18,3,0.33721822983431726,1,True
829,27,19,3,0.37655706750081697,1,True
830,27,20,1,0.4144923193787903,1,True
831,27,21,3,0.5328414848361971,1,True
832,27,22,3,0.573594926200989,1,True
833,27,23,1,0.6137200661800101,1,True
834,27,24,2,0.5736236497051073,1,False
835,27,25,2,0.533944583448901,1,False
836,27,26,3,0.8200117767003032,1,True
837,27,27,3,0.8628719192994381,1,True
838,27,28,3,0.9062129050732004,1,True
839,27,29,1,0.9500401706463727,1,True
840,28,0,1,-0.4797391503870973,2,False
841,28,1,0,-0.39477056007191036,1,False
842,28,2,3,-0.36624345987548723,1,False
843,28,3,0,-0.33669301109310434,1,False
844,28,4,3,-0.3052107978468329,1,False
845,28,5,3,-0.2749766444296689,1,False
846,28,6,0,-0.2444022203480111,1,False
847,28,7,1,-0.14802476002687387,1,True
848,28,8,3,-0.11670306083336035,1,False
849,28,9,1,-0.08443880818002777,1,False
850,28,10,3,-0.04746004007967348,2,False
851,28,11,1,-0.016043445090956253,1,False
852,28,12,3,0.018330745813100395,1,False
853,28,13,3,0.0521967205339592,1,False
854,28,14,3,0.08644203866628881,1,False
855,28,15,1,0.12107156857121708,1,False
856,28,16,3,0.15890443993776038,2,False
857,28,17,1,0.19252033422381362,1,False
858,28,18,0,0.3002889190851747,1,False
859,28,19,1,0.2673544896841405,2,False
860,28,20,3,0.45382779521013966,1,True
861,28,21,0,0.4926067534180865,1,True
862,28,22,2,0.4538548929612288,1,True
863,28,23,3,0.6553500789389887,2,True
864,28,24,3,0.6953665486194174,2,True
865,28,25,3,0.7357401916095347,1,True
866,28,26,1,0.7776256948365079,1,True
867,28,27,3,0.9074002403094699,1,True
868,28,28,1,0.9512416464404253,1,True
869,28,29,1,0.9955428660952107,1,True
870,29,0,3,-0.45290296005040037,1,False
871,29,1,3,-0.4243633301182909,1,False
872,29,2,0,-0.39546600820768557,1,False
873,29,3,3,-0.363150128407717,2,False
874,29,4,0,-0.33507075624021915,1,False
875,29,5,3,-0.3043913832844028,1,False
876,29,6,0,-0.2749553077537929,1,False
877,29,7,3,-0.11600271061141124,1,True
878,29,8,3,-0.08364396792299345,1,True
879,29,9,3,-0.05092276759287232,1,True
880,29,10,3,-0.016928616310563964,1,True
881,29,11,3,0.01739049023534589,1,True
882,29,12,3,0.05217159063249654,1,True
883,29,13,3,0.08644136747241403,1,True
884,29,14,3,0.12107155109404885,1,True
885,29,15,3,0.1560896374228241,1,True
886,29,16,3,0.19244703978694389,1,True
887,29,17,3,0.2282912288193014,1,True
888,29,18,3,0.26547974709173616,1,True
889,29,19,3,0.3021439166774965,1,True
890,29,20,3,0.3401345425929844,1,True
891,29,21,3,0.3776356219457971,1,True
892,29,22,0,0.41553298250647414,1,True
893,29,23,3,0.6932798363257319,1,True
894,29,24,3,0.734635621047085,1,True
895,29,25,3,0.7775969330043978,1,True
896,29,26,3,0.8200094493035924,1,True
897,29,27,0,0.864015785306324,1,True
898,29,28,3,0.9955741512355608,1,True
